Rowid_,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST
,0,0,29,216907.289930925238878
,0,1,31,360105.115494430938270
,0,2,31,283134.405456605192740
,0,3,54,436580.551628689398058
,0,4,31,314869.646734347334132
,0,5,29,400772.794149487221148
,0,6,31,441388.358027130248956
,0,7,30,542806.049243564601056
,0,8,31,425721.061752901121508
,0,9,31,512601.009870374749880
,0,10,31,284911.741939511848614
,0,11,29,178826.802370553312358
,0,12,30,359499.635630632867105
,0,13,29,276397.957347991818096
,0,14,31,238601.023375017422950
,0,15,31,415359.480307597026695
,0,16,31,478218.742228700604755
,0,17,31,419656.604876620345749
,0,18,31,134282.307182279415429
,0,19,29,279103.589357913413551
,0,20,31,284622.250189622398466
,0,21,31,190554.962723198521417
,0,22,31,331736.229387601313647
,0,23,31,191662.118131509225350
,0,24,28,247004.913145640952280
,0,25,28,369876.367570565664209
,0,26,31,455947.243378421640955
,0,27,31,420529.578506417747121
,0,28,31,164146.695390463515650
,0,29,31,408254.593647560977843
,0,30,31,408862.672253710916266
,0,31,31,489767.246820975735318
,0,32,29,605687.411275222199038
,0,33,31,444944.916797866404522
,0,34,54,393699.158482371596619
,0,35,54,431543.538639217498712
,0,36,30,563411.777804322307929
,0,37,31,326722.792265233059879
,0,38,54,533152.496754266903736
,0,39,54,496280.061170870030764
,0,40,27,488621.793350075720809
,0,41,30,359797.428433690918609
,0,42,28,202094.512583129195264
,0,43,30,398155.693804657203145
,0,44,54,426191.663668274588417
,0,45,28,152823.057288864656584
,0,46,54,441742.229054842377082
,0,47,31,92941.946772800161853
,0,48,31,319858.517414861591533
,0,49,31,335744.447270105534699
,0,50,54,175328.975858885969501
,0,51,54,367745.322881008789409
,0,52,54,339569.785928444878664
,0,53,54,246484.733156053640414
,0,54,54,682716.936251364764757
,0,55,54,17946.183299478212575
,0,56,54,382764.405360596661922
,0,57,54,220756.942262143042171
,0,58,54,424619.117925426515285
,0,59,54,62860.324937820863852
,0,60,54,815364.417634024866857
,0,61,27,389571.024878139549401
,0,62,54,892514.327186442795210
,0,63,54,116628.715003674675245
,0,64,54,530450.996260132873431
,0,65,31,494686.037352855724748
,0,66,54,805758.764830448431894
,0,67,54,106812.001638978574192
,0,68,54,156120.062627306528157
,0,69,54,121293.122737683879677
,0,70,54,158767.287298738548998
,0,71,54,112325.715538551041391
,0,72,31,565290.378126410185359
,0,73,54,225706.290551108977525
,0,74,54,121136.506225250908756
,0,75,54,132436.843621848325711
