Rowid_,FID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
,0,88656,72231303746.734207153320313,-173,1923,2096,453.494912921855246,285.050177632926705,40205045.000000000000000,1462,-121,-173,491
,1,152898,124571623807.392257690429688,556,4344,3788,1753.971726248871846,675.842621440327207,268178769.000000000000000,3390,1790,556,1758
,2,7559,6158595301.181690216064453,985,2877,1892,2083.091546500859749,342.245438282400016,15746089.000000000000000,1498,2017,985,2081
,3,25309,20620173101.945678710937500,408,1145,737,476.418309692204332,73.344859564150141,12057671.000000000000000,433,414,408,449
,4,139747,113857020446.386779785156250,297,4297,4000,1444.132124482099698,729.679016641109456,201813132.000000000000000,3804,1111,297,1270
,5,28932,23571964446.856548309326172,603,1633,1030,1013.155122355868912,258.207739802239132,29312604.000000000000000,1024,694,603,965
,6,13191,10747192832.105791091918945,388,3297,2909,985.035630354029308,500.466345576441540,12993605.000000000000000,1955,396,388,848
,7,48304,39355045300.738243103027344,177,1528,1351,669.547449486584924,320.433023268122213,32341820.000000000000000,1219,233,1311,658
,8,15071,12278897973.820512771606445,505,1885,1380,1000.350275363280502,294.377209044316885,15076279.000000000000000,1227,815,510,938
,9,79057,64410645419.436546325683594,495,2438,1943,1245.447626396144642,321.204855755529422,98461353.000000000000000,1806,498,496,1231
,10,12396,10099477093.987066268920898,1208,3153,1945,2266.890609874153142,417.152942090532747,28100376.000000000000000,1681,1687,1224,2371
,11,28148,22933210813.290409088134766,424,1998,1574,882.036769930368109,257.362203489759565,24827571.000000000000000,1426,742,424,790
,12,1141,929614663.136434555053711,204,431,227,255.195442594215592,37.494719655133849,291178.000000000000000,157,208,204,253
,13,11704,9535679243.951646804809570,1098,2114,1016,1565.234278879015619,175.083289818962299,18319502.000000000000000,842,1634,1098,1583
,14,17820,14518609375.189537048339844,835,3235,2400,1872.260325476992193,337.689077048907905,33363679.000000000000000,1749,1893,835,1869
,15,9488,7730222544.994295120239258,579,2610,2031,1289.728393760539575,441.072304181395396,12236943.000000000000000,1707,1020,581,1181
,16,211,171909460.054152220487595,518,996,478,625.113744075829345,82.104870812275152,131899.000000000000000,104,613,525,610
,17,25866,21073981487.017539978027344,499,2563,2064,877.172620428361597,364.955260275841567,22688947.000000000000000,1778,655,499,748
,18,15926,12975497918.589706420898438,1554,3597,2043,2094.308866005274467,474.701887038287737,33353963.000000000000000,1831,1558,1554,1923
,19,3194,2602269267.360010147094727,1178,2815,1637,1684.447401377582992,253.577735659825180,5380125.000000000000000,966,1603,1178,1658
,20,43658,35569778232.436859130859375,650,3239,2589,1515.344724907233513,382.953636485322761,66156920.000000000000000,2007,1446,650,1451
,21,4979,4056574415.211487770080566,857,3103,2246,1766.829483832094866,365.095383056286494,8797044.000000000000000,1479,1930,857,1786
,22,16466,13415455778.443935394287109,912,3306,2394,1912.757135916433754,407.971864688505036,31495459.000000000000000,1907,1572,912,1913
,23,11734,9560121347.276882171630859,1461,3216,1755,2082.533066303050873,317.869178457291468,24436443.000000000000000,1464,1894,1461,2000
,24,9660,7870357270.725642204284668,948,4438,3490,1792.478467908902758,570.152618822030377,17315342.000000000000000,2051,1367,948,1663
,25,6536,5325119577.791179656982422,928,2847,1919,1825.887086903304862,368.136025834829184,11933998.000000000000000,1575,1789,928,1853
,26,11466,9341771890.904783248901367,425,2116,1691,960.814233385661964,392.718143055073483,11016696.000000000000000,1457,625,425,882
,27,11660,9499830825.741302490234375,543,3079,2536,1440.705488850771872,429.206569298970692,16798626.000000000000000,1948,1111,543,1417
,28,55258,45020724851.527694702148438,701,3279,2578,1825.015708132759073,449.791641138474290,100846718.000000000000000,2398,2227,701,1790
,29,10716,8730719307.773910522460938,540,3034,2494,1522.586226203807428,320.873353184368000,16316034.000000000000000,1656,1389,540,1470
,30,6286,5121435383.414221763610840,455,2469,2014,1201.434457524658001,520.412929321984052,7552217.000000000000000,1723,608,455,1050
,31,130,105915781.076017946004868,636,903,267,708.776923076923026,41.740824027953586,92141.000000000000000,80,693,637,705
,32,22340,18201219609.524932861328125,363,738,375,523.766741271262276,80.069941306584980,11700949.000000000000000,364,533,701,526
,33,4977,4054944941.656471729278564,442,2484,2042,1100.480811733976225,469.297130556481704,5477093.000000000000000,1510,461,442,1115
,34,844,687637840.216608881950378,483,858,375,578.469194312796162,54.281369368212658,488228.000000000000000,206,582,483,577
,35,2335,1902410375.480783939361572,402,415,13,408.827408993576000,2.162107567288067,954612.000000000000000,14,409,415,409
,36,189747,154593859321.778289794921875,195,1577,1382,642.296921690461545,267.076751231267338,121873914.000000000000000,1365,404,195,567
,37,32665,26613376837.293281555175781,518,3428,2910,1548.712934333384283,505.490385687510923,50588708.000000000000000,2564,1179,518,1445
,38,359,292490503.125311136245728,497,815,318,569.818941504178269,102.674720048516093,204565.000000000000000,117,499,510,508
,39,13246,10792003354.868721008300781,366,2057,1691,678.197191605012790,325.252147734002108,8983400.000000000000000,1283,370,663,545
,40,1102,897839928.813629150390625,517,632,115,552.743194192377473,26.713209752443962,609123.000000000000000,103,532,518,541
,41,1145,932873610.246465802192688,177,453,276,319.025327510917009,78.015194273657315,365284.000000000000000,236,419,198,325
,42,7307,5953281633.249716758728027,-125,2349,2474,603.655398932530488,467.784184226869286,4410910.000000000000000,1739,-118,-125,604
,43,5828,4748285939.315635681152344,196,544,348,296.317604667124215,72.296097089579646,1726939.000000000000000,333,232,447,289
,44,16500,13443156828.879201889038086,410,2136,1726,913.689272727272737,355.738322783822071,15075873.000000000000000,1531,443,410,847
,45,35005,28519860896.661602020263672,558,3200,2642,1744.427624625053568,506.960044056887398,61063689.000000000000000,2400,1905,559,1803
,46,1440,1173220959.611275672912598,395,1062,667,480.017361111111086,101.023857763801232,691225.000000000000000,280,439,395,442
,47,59929,48826360339.266769409179688,569,3608,3039,1992.951092125681953,676.673344180884442,119435566.000000000000000,2895,2653,571,2064
